 0:28:54 Warning: dsr_vehicles\mmt\mmt.p3d:1, vertices of bone volant are shared with parent bone skladacka_predni
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1834, sum of weights is 52, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1835, sum of weights is 38, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1835, sum of weights is 38, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1836, sum of weights is 39, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1837, sum of weights is 38, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1838, sum of weights is 21, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1838, sum of weights is 21, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1839, sum of weights is 23, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1840, sum of weights is 22, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1841, sum of weights is 8, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1841, sum of weights is 8, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1841, sum of weights is 8, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1841, sum of weights is 8, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1842, sum of weights is 10, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1842, sum of weights is 10, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1843, sum of weights is 9, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:VIEW_PILOT, vertex: 1843, sum of weights is 9, should be 100 
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:geometryFire, vertices of bone volant are shared with parent bone skladacka_predni
 0:28:55 Warning: dsr_vehicles\mmt\mmt.p3d:geometryFire, vertices of bone wheel_1_damper are shared with parent bone skladacka_predni
 0:28:55 Warnings in dsr_vehicles\mmt\mmt.p3d:shadow(1000)
